uesatura:Rs/Ro:PPM:PPM2::
28:0.14:48.00:22.00:2.70:68.12:0
28:0.14:48.00:22.00:2.77:63.71:0
28:0.14:48.00:22.00:2.67:70.75:0
Questo dispositivo verifica la quantita' in ppm di metano (CH4) presente nell'ambiente.

Calibrating...
Calibration is done...
Ro=265.00kohm
Inizio la misurazione...

Misura analogica:Voltaggio:Umidita' corrente:Temperatura:Rs/Ro:PPM:PPM2::
28:0.14:48.00:22.00:2.74:65.25:0
28:0.14:48.00:22.00:2.69:69.27:0
25:0.12:48.00:22.00:2.83:59.87:0
27:0.13:48.00:22.00:2.70:68.02:0
30:0.15:48.00:22.00:2.57:78.25:0
28:0.14:48.00:22.00:2.67:70.75:0
29:0.14:48.00:22.00:2.65:71.97:0
25:0.12:48.00:22.00:2.65:72.17:0
27:0.13:48.00:22.00:2.84:59.59:0
30:0.15:48.00:22.00:2.59:76.77:0
27:0.13:48.00:22.00:2.67:70.53:0
27:0.13:48.00:22.00:2.63:73.62:0
28:0.14:48.00:22.00:2.67:70.75:0
26:0.13:48.00:22.00:2.61:75.13:0
27:0.13:48.00:22.00:2.76:64.02:0
29:0.14:48.00:22.00:2.66:70.85:0
26:0.13:47.00:22.00:2.63:73.62:0
27:0.13:48.00:22.00:2.67:70.65:0
25:0.12:48.00:22.00:2.67:70.75:0
27:0.13:48.00:22.00:2.61:74.81:0
27:0.13:48.00:22.00:2.82:60.54:0
28:0.14:48.00:22.00:2.79:62.42:0
26:0.13:47.00:22.00:2.71:67.40:0
27:0.13:47.00:22.00:2.65:72.17:0
25:0.12:48.00:22.00:2.62:73.83:0
28:0.14:48.00:22.00:2.65:71.97:0
30:0.15:47.00:22.00:2.74:65.73:0
28:0.14:47.00:22.00:2.66:70.95:0
28:0.14:47.00:22.00:2.61:75.23:0
27:0.13:48.00:22.00:2.71:67.83:0
28:0.14:47.00:22.00:2.61:75.02:0
30:0.15:47.00:22.00:2.65:72.26:0
28:0.14:48.00:22.00:2.65:72.17:0
27:0.13:48.00:22.00:2.66:71.49:0
28:0.14:47.00:22.00:2.67:70.65:0
27:0.13:47.00:22.00:2.61:74.81:0
27:0.13:47.00:22.00:2.67:70.65:0
25:0.12:47.00:22.00:2.67:70.45:0
25:0.12:47.00:22.00:2.77:63.71:0
28:0.14:47.00:22.00:2.65:72.17:0
26:0.13:47.00:22.00:2.69:69.15:0
27:0.13:47.00:22.00:2.67:70.65:0
28:0.14:47.00:22.00:2.73:66.29:0
30:0.15:47.00:22.00:2.57:78.02:0
28:0.14:48.00:22.00:2.63:73.62:0
30:0.15:48.00:22.00:2.67:70.65:0
28:0.14:48.00:22.00:2.69:69.17:0
28:0.14:48.00:22.00:2.65:72.27:0
27:0.13:48.00:22.00:2.61:75.02:0
29:0.14:47.00:22.00:2.63:73.42:0
28:0.14:48.00:22.00:2.63:73.42:0
26:0.13:47.00:22.00:2.66:70.85:0
27:0.13:48.00:22.00:2.59:76.77:0
