Tempo:	Ora:	Giorno:	Misura analogica:	Voltaggio:	Umidita' corrente:	Temperatura:	Rs/Ro:	PPM:
1477342388	20:53:8	24/10/16	30	0,15	55	22	2,69	69,17
1477342718	20:58:38	24/10/16	30	0,15	55	22	2,55	79,76
1477343048	21:4:8	24/10/16	30	0,15	55	22	2,63	73,72
1477343378	21:9:38	24/10/16	29	0,14	55	22	2,55	79,87
1477343708	21:15:8	24/10/16	31	0,15	55	22	2,4	94,55
1477344038	21:20:38	24/10/16	29	0,14	55	22	2,42	92,98
1477344369	21:26:9	24/10/16	30	0,15	56	22	2,35	99,96
1477344699	21:31:39	24/10/16	31	0,15	58	21	2,42	92,87
1477345029	21:37:9	24/10/16	30	0,15	59	21	2,45	89,42
1477345359	21:42:39	24/10/16	31	0,15	60	21	2,4	94,55
1477345689	21:48:9	24/10/16	32	0,16	61	22	2,31	105,42
1477346019	21:53:39	24/10/16	33	0,16	62	22	2,24	115
1477346349	21:59:9	24/10/16	34	0,17	62	22	2,21	118,9
1477346679	22:4:39	24/10/16	33	0,16	63	22	2,25	112,95
1477347009	22:10:9	24/10/16	33	0,16	62	22	2,25	113,07
1477347339	22:15:39	24/10/16	32	0,16	62	22	2,24	115
1477347669	22:21:9	24/10/16	31	0,15	62	22	2,27	111,06
1477347999	22:26:39	24/10/16	34	0,17	62	22	2,28	109,21
1477348329	22:32:9	24/10/16	31	0,15	62	22	2,28	109,1
1477348659	22:37:39	24/10/16	32	0,16	62	22	2,29	107,18
1477348989	22:43:9	24/10/16	31	0,15	62	22	2,25	112,83
